feature,importance
max_abs_slope_down_z,0.08795424971550289
PPRL_z,0.08794020640975017
mean_down_z,0.08587611013225523
max_up_z,0.07484359581488303
mean_load_z,0.07259079986302751
max_down_z,0.06699659462279565
SPM,0.06323659917885277
std_down_z,0.05444216027597703
viscosity,0.05305929676080787
MPRL_z,0.052930334207765425
min_down_z,0.05285492777911791
load_range_z,0.040944714721832885
mean_up_z,0.03211063992228885
std_load_z,0.020498993595997286
position_of_peak_load,0.01866360660600866
position_of_min_load,0.01593923635996517
mean_slope_down_z,0.015606374436449364
load_range_raw_lbf,0.012189889695778248
MPRL_raw_lbf,0.010749621537969066
card_area_shape_norm,0.009843237479951188
max_abs_slope_up_z,0.007528831341585093
min_up_z,0.006213957315118998
fluid_level,0.0061314731486477895
mean_slope_up_z,0.005996240037688748
std_up_z,0.0057015507975789834
up_down_load_ratio_raw,0.005295477700297007
card_work_raw_lbf_in,0.005243421015798263
PPRL_raw_lbf,0.005116657742849827
temperature,0.004955567283635706
std_load_raw_lbf,0.004562589946519582
stroke_length,0.003996364834909836
pump_depth,0.0039514974653246685
mean_load_raw_lbf,0.003906478570051992
production_rate,0.0021287036830172057
